医療機関ID,医療機関名,都道府県名,医療機関住所,電話番号
rz076707,神田駅前クリニック内科,東京都,千代田区内神田3-13-2　松尾ビル５階,362852822.0
rz076707,神田駅前クリニック内科,東京都,千代田区内神田3-13-2　松尾ビル５階,362852822.0
rz076707,神田駅前クリニック内科,東京都,千代田区内神田3-13-2　松尾ビル５階,362852822.0
ke075014,愛知医科大学メディカルセンター,愛知県,岡崎市仁木町川越１７－３３,564662811.0
ke075014,愛知医科大学メディカルセンター,愛知県,岡崎市仁木町川越１７－３３,564662811.0
ke075014,愛知医科大学メディカルセンター,愛知県,岡崎市仁木町川越１７－３３,564662811.0
cov02095,神奈川県立臨時の医療施設,神奈川県,鎌倉市植木字峯ノ下,467461717.0
cov02095,神奈川県立臨時の医療施設,神奈川県,鎌倉市植木字峯ノ下,467461717.0
cov02095,神奈川県立臨時の医療施設,神奈川県,鎌倉市植木字峯ノ下,467461717.0
cov00796,友愛医療センター,沖縄県,豊見城市字与根５０番地５,988503811.0
cov00796,友愛医療センター,沖縄県,豊見城市字与根５０番地５,988503811.0
cov00796,友愛医療センター,沖縄県,豊見城市字与根５０番地５,988503811.0
cov00361,自衛隊那覇病院,沖縄県,那覇市当間301,988571191.0
cov00361,自衛隊那覇病院,沖縄県,那覇市当間301,988571191.0
cov00361,自衛隊那覇病院,沖縄県,那覇市当間301,988571191.0
cov00360,五日町病院,新潟県,南魚沼市五日町２３７５,257763113.0
cov00360,五日町病院,新潟県,南魚沼市五日町２３７５,257763113.0
cov00360,五日町病院,新潟県,南魚沼市五日町２３７５,257763113.0
cov00359,北リアス病院,岩手県,久慈市源道第１２地割１１１番,194532323.0
cov00359,北リアス病院,岩手県,久慈市源道第１２地割１１１番,194532323.0
cov00359,北リアス病院,岩手県,久慈市源道第１２地割１１１番,194532323.0
cov00358,医療法人成蹊会　佐世保北病院,長崎県,佐世保市下本山町４３２番地１,956472332.0
cov00358,医療法人成蹊会　佐世保北病院,長崎県,佐世保市下本山町４３２番地１,956472332.0
cov00358,医療法人成蹊会　佐世保北病院,長崎県,佐世保市下本山町４３２番地１,956472332.0
cov00356,島根県立こころの医療センター,島根県,出雲市下古志町１５７４－４,853300556.0
cov00356,島根県立こころの医療センター,島根県,出雲市下古志町１５７４－４,853300556.0
cov00356,島根県立こころの医療センター,島根県,出雲市下古志町１５７４－４,853300556.0
cov00355,社会医療法人正光会　松ヶ丘病院,島根県,益田市高津４丁目２４番１０号,856228711.0
cov00355,社会医療法人正光会　松ヶ丘病院,島根県,益田市高津４丁目２４番１０号,856228711.0
cov00355,社会医療法人正光会　松ヶ丘病院,島根県,益田市高津４丁目２４番１０号,856228711.0
cov00354,香川県立丸亀病院,香川県,丸亀市土器町東九丁目２９１番地,877222131.0
cov00354,香川県立丸亀病院,香川県,丸亀市土器町東九丁目２９１番地,877222131.0
cov00354,香川県立丸亀病院,香川県,丸亀市土器町東九丁目２９１番地,877222131.0
cov00353,医療法人西浦会（財団）　京阪病院,大阪府,守口市八雲中町三丁目１３番１７号,669082019.0
cov00353,医療法人西浦会（財団）　京阪病院,大阪府,守口市八雲中町三丁目１３番１７号,669082019.0
cov00353,医療法人西浦会（財団）　京阪病院,大阪府,守口市八雲中町三丁目１３番１７号,669082019.0
cov00352,篠ノ井橋病院,長野県,千曲市大字雨宮１６３６,262720744.0
cov00352,篠ノ井橋病院,長野県,千曲市大字雨宮１６３６,262720744.0
cov00352,篠ノ井橋病院,長野県,千曲市大字雨宮１６３６,262720744.0
cov00351,ピネル記念病院,熊本県,熊本市東区佐土原１－８－３３,963651133.0
cov00351,ピネル記念病院,熊本県,熊本市東区佐土原１－８－３３,963651133.0
cov00351,ピネル記念病院,熊本県,熊本市東区佐土原１－８－３３,963651133.0
cov00350,もとだて病院,岩手県,花巻市東宮野目第１３地割１番地１,198235131.0
cov00350,もとだて病院,岩手県,花巻市東宮野目第１３地割１番地１,198235131.0
cov00350,もとだて病院,岩手県,花巻市東宮野目第１３地割１番地１,198235131.0
cov00349,医療法人社団聖母会　聖マリア記念病院,千葉県,成田市取香４４６,476320711.0
cov00349,医療法人社団聖母会　聖マリア記念病院,千葉県,成田市取香４４６,476320711.0
cov00349,医療法人社団聖母会　聖マリア記念病院,千葉県,成田市取香４４６,476320711.0
cov00348,医療法人社団愛慈会　西佐倉印西病院,千葉県,印西市岩戸１８４４‐１０,476990261.0
cov00348,医療法人社団愛慈会　西佐倉印西病院,千葉県,印西市岩戸１８４４‐１０,476990261.0
cov00348,医療法人社団愛慈会　西佐倉印西病院,千葉県,印西市岩戸１８４４‐１０,476990261.0
cov00347,医療法人社団　潤清会　端野病院,北海道,北見市端野町一区６６６番地,157563151.0
cov00347,医療法人社団　潤清会　端野病院,北海道,北見市端野町一区６６６番地,157563151.0
cov00347,医療法人社団　潤清会　端野病院,北海道,北見市端野町一区６６６番地,157563151.0
cov00346,医療法人医誠会　東舞鶴医誠会病院,京都府,舞鶴市字大波下小字前田７６５番１６,773623606.0
cov00346,医療法人医誠会　東舞鶴医誠会病院,京都府,舞鶴市字大波下小字前田７６５番１６,773623606.0
cov00346,医療法人医誠会　東舞鶴医誠会病院,京都府,舞鶴市字大波下小字前田７６５番１６,773623606.0
cov00345,宮城県立精神医療センター,宮城県,名取市手倉田字山無番地,223842236.0
cov00345,宮城県立精神医療センター,宮城県,名取市手倉田字山無番地,223842236.0
cov00345,宮城県立精神医療センター,宮城県,名取市手倉田字山無番地,223842236.0
cov00344,一般財団法人　川越病院,京都府,京都市左京区浄土寺馬場町４８,757712972.0
cov00344,一般財団法人　川越病院,京都府,京都市左京区浄土寺馬場町４８,757712972.0
cov00344,一般財団法人　川越病院,京都府,京都市左京区浄土寺馬場町４８,757712972.0
cov00343,医療法人社団松伯会　藤田病院,千葉県,匝瑳市八日市場ホ３２９２,479720308.0
cov00343,医療法人社団松伯会　藤田病院,千葉県,匝瑳市八日市場ホ３２９２,479720308.0
cov00343,医療法人社団松伯会　藤田病院,千葉県,匝瑳市八日市場ホ３２９２,479720308.0
cov00342,医療法人　福知会　もみじヶ丘病院,京都府,福知山市字堀小字大岩谷３３７４,773222288.0
cov00342,医療法人　福知会　もみじヶ丘病院,京都府,福知山市字堀小字大岩谷３３７４,773222288.0
cov00342,医療法人　福知会　もみじヶ丘病院,京都府,福知山市字堀小字大岩谷３３７４,773222288.0
cov00341,医療法人南陽会　田村病院,千葉県,館山市館山１８３,470221370.0
cov00341,医療法人南陽会　田村病院,千葉県,館山市館山１８３,470221370.0
cov00341,医療法人南陽会　田村病院,千葉県,館山市館山１８３,470221370.0
cov00340,一般財団法人愛成会　弘前愛成会病院,青森県,弘前市大字北園一丁目６－２,172347111.0
cov00340,一般財団法人愛成会　弘前愛成会病院,青森県,弘前市大字北園一丁目６－２,172347111.0
cov00340,一般財団法人愛成会　弘前愛成会病院,青森県,弘前市大字北園一丁目６－２,172347111.0
cov00339,医療法人明星会　東条メンタルホスピタル,千葉県,鴨川市広場１３３８,470922138.0
cov00339,医療法人明星会　東条メンタルホスピタル,千葉県,鴨川市広場１３３８,470922138.0
cov00339,医療法人明星会　東条メンタルホスピタル,千葉県,鴨川市広場１３３８,470922138.0
cov00338,医療法人六三会　大阪さやま病院,大阪府,大阪狭山市岩室三丁目２１６－１,723650181.0
cov00338,医療法人六三会　大阪さやま病院,大阪府,大阪狭山市岩室三丁目２１６－１,723650181.0
cov00338,医療法人六三会　大阪さやま病院,大阪府,大阪狭山市岩室三丁目２１６－１,723650181.0
cov00337,医療法人学而会　木村病院,千葉県,千葉市中央区東本町６－１９,432270547.0
cov00337,医療法人学而会　木村病院,千葉県,千葉市中央区東本町６－１９,432270547.0
cov00337,医療法人学而会　木村病院,千葉県,千葉市中央区東本町６－１９,432270547.0
cov00336,千葉県精神科医療センター,千葉県,千葉市美浜区豊砂５,432761361.0
cov00336,千葉県精神科医療センター,千葉県,千葉市美浜区豊砂５,432761361.0
cov00336,千葉県精神科医療センター,千葉県,千葉市美浜区豊砂５,432761361.0
cov00335,医療法人社団啓心会　岡田病院,千葉県,野田市柳沢２２１,471246151.0
cov00335,医療法人社団啓心会　岡田病院,千葉県,野田市柳沢２２１,471246151.0
cov00335,医療法人社団啓心会　岡田病院,千葉県,野田市柳沢２２１,471246151.0
cov00334,医療法人社団心和会　八千代病院,千葉県,八千代市下高野５４９,474881511.0
cov00334,医療法人社団心和会　八千代病院,千葉県,八千代市下高野５４９,474881511.0
cov00334,医療法人社団心和会　八千代病院,千葉県,八千代市下高野５４９,474881511.0
cov00333,湖南病院,滋賀県,野洲市八夫２０７７番地,775895155.0
cov00333,湖南病院,滋賀県,野洲市八夫２０７７番地,775895155.0
cov00333,湖南病院,滋賀県,野洲市八夫２０７７番地,775895155.0
cov00332,京都府立洛南病院,京都府,宇治市五ケ庄広岡谷２,774325900.0
cov00332,京都府立洛南病院,京都府,宇治市五ケ庄広岡谷２,774325900.0
cov00332,京都府立洛南病院,京都府,宇治市五ケ庄広岡谷２,774325900.0
cov00331,医療法人京友会　京友会病院,千葉県,旭市仁玉２０９９,479620421.0
cov00331,医療法人京友会　京友会病院,千葉県,旭市仁玉２０９９,479620421.0
cov00331,医療法人京友会　京友会病院,千葉県,旭市仁玉２０９９,479620421.0
cov00330,医療法人白百合会　市原鶴岡病院,千葉県,市原市新堀９５５,436361511.0
cov00330,医療法人白百合会　市原鶴岡病院,千葉県,市原市新堀９５５,436361511.0
cov00330,医療法人白百合会　市原鶴岡病院,千葉県,市原市新堀９５５,436361511.0
